Diam_pouce,Diam_mm,UNC,UNF,UNEF,BSW,BSF,BSP-BSPT / RC,NPT
,"1,52",,80,,,,,
,"1,59",,,,,,,
,"1,85",65,72,,,,,
,"2,18",56,64,,,,,
,"2,38",,,,48,,,
,"2,51",48,56,,,,,
,"2,84",40,48,,,,,
,"3,17",40,44,,40,,,
,"3,5",32,40,,,32,,
,"3,96",,,,,32,,
,"4,16",32,36,,,,,
,"4,76",,,,24,28,,
,"4,82",24,32,,,,,
,"5,48",24,28,32,,,,
,"5,55",,,,24,28,,
,"6,35",20,28,32,20,26,,
,"7,14",,,,,26,,
,"7,72",,,,,,28,27
,"7,93",18,24,32,,22,,
,"9,52",16,24,32,16,20,,
,"9,72",,,,,,28,2
,"11,11",14,20,28,14,18,,
,"12,7",13,20,28,12,16,,
,"13,15",,,,,,19,18
,"14,28",12,18,24,12,16,,
,"15,87",11,18,24,11,14,,
,"16,66",,,,,,19,18
,"17,46",,,24,,14,,
,"19,05",10,16,20,10,12,,
,"20,64",,,20,,12,,
,"20,95",,,,,,14,14
,"22,91",,,,,,14,
,"22,22",9,14,20,9,11,,
,"23,81",,,20,,,,
,"25,4",8,12,20,8,10,,
,"26,44",,,,,,14,14
,"26,99",,,18,,,,
,"28,57",7,12,18,7,9,,
,"29,69",,,18,,,,
,"30,02",,,,,,14,
,"30,16",,,18,,,,
,"31,75",7,12,18,7,9,,
,"33,24",,,18,,,11,"11,5"
,"33,34",,,18,,,,
,"34,92",6,12,18,6,8,,
,"36,51",,,18,,,,
,"37,89",,,,,,11,
,"38,1",6,12,18,6,8,,
,"41,28",,,18,5,8,,
,"41,91",,,,,,11,"11,5"
,"42,86",,,18,,,,
,"44,32",,,,,,11,
,"44,45",5,,18,5,7,,
,"46,04",,,,,,,
,"47,63",,,,"4,5",,,
,"47,8",,,,,,11,"11,5"
,"49,21",,,,,,,
,"50,8","4,5",,18,"4,5",7,,
,"53,74",,,,,,11,
,"53,97",,,,,,,
,"57,15","4,5",,,4,6,,
,"59,61",,,,,,11,"11,5"
,"60,32",,,,,,,
,"63,5",4,,,4,6,,
,"65,71",,,,,,,
,"66,67",,,,,,,
,"69,85",4,,,"3,5",6,,
,"73,02",,,,,,,
,"75,18",,,,,,11,
,"76,2",4,,,"3,5",5,,
,"79,37",,,,,,,
,"81,53",,,,,,11,
,"82,55",4,,,"3,25",5,,
,"85,72",,,,,,,
,"87,88",,,,,,11,
,"88,9",4,,,"3,25","4,5",,
,"92,07",,,,,,,
,"93,98",,,,,,11,
,"95,25",4,,,3,"4,5",,
,"98,42",,,,,,,
,"100,33",,,,,,,
,"101,6",4,,,3,"4,5",11,
,"106,68",,,,,,11,
,"113,03",,,,,,,
